Controller,Region,IAE,Mean overshoot (pH),Max overshoot (pH),Worst settling time (s),Steps not settled,Steps evaluated,"Actuator travel (int|dQb/dt|, mL/s)",Fraction time saturated,"Tail peak-to-peak (pH, last third)",Stability verdict
Conventional PI,Acidic,1609.68,0.3506,0.3506,23561.0,0,1,0.758,0.0,0.0,stable
Conventional PI,Near-neutral,381567.98,2.8058,2.9596,,2,2,451.398,0.0,4.9469,LIMIT CYCLE (sustained oscillation)
Conventional PI,Alkaline,2733.94,0.1757,0.1757,22421.0,0,1,2.282,0.0,0.0,stable
IMC PI,Acidic,5739.44,0.4507,0.4507,35901.6,0,1,0.406,0.0,0.0,stable
IMC PI,Near-neutral,289636.1,2.6312,3.2302,,2,2,154.204,0.0,3.8945,LIMIT CYCLE (sustained oscillation)
IMC PI,Alkaline,10133.68,0.0,0.0,29381.3,0,1,1.242,0.0,0.0,stable
IMC-scheduled PID,Acidic,11200.64,0.4301,0.4301,36781.6,0,1,0.339,0.0,0.0,stable
IMC-scheduled PID,Near-neutral,39803.33,3.1841,3.2354,29201.3,0,2,2.33,0.0,0.0,stable
IMC-scheduled PID,Alkaline,14605.49,0.0268,0.0268,24321.1,0,1,0.812,0.0,0.0,stable
Pure gain-scheduled PID,Acidic,2295.91,0.3758,0.3758,24481.1,0,1,0.416,0.0,0.0,stable
Pure gain-scheduled PID,Near-neutral,247202.69,2.9106,3.0902,,2,2,76.495,0.0,3.352,LIMIT CYCLE (sustained oscillation)
Pure gain-scheduled PID,Alkaline,4775.86,0.1599,0.1599,24701.1,0,1,1.234,0.0,0.0,stable
Horn IMC-PI,Acidic,2676.21,0.3959,0.3959,27841.2,0,1,0.554,0.0,0.0,stable
Horn IMC-PI,Near-neutral,361909.02,2.6197,2.8184,,2,2,403.463,0.0,4.7319,LIMIT CYCLE (sustained oscillation)
Horn IMC-PI,Alkaline,4598.85,0.0007,0.0007,25781.1,0,1,2.716,0.0,0.0,stable
C1,Acidic,9024.42,0.4843,0.4843,44062.0,0,1,0.336,0.0,0.0001,stable
C1,Near-neutral,180542.64,2.7111,3.439,,2,2,26.677,0.0,2.4128,LIMIT CYCLE (sustained oscillation)
C1,Alkaline,16441.89,0.0357,0.0357,23981.1,0,1,0.719,0.0,0.0,stable
C2,Acidic,11107.4,0.4791,0.4791,55342.5,0,1,0.32,0.0,0.0049,stable
C2,Near-neutral,285416.31,3.007,3.0682,,2,2,80.804,0.0,3.7537,LIMIT CYCLE (sustained oscillation)
C2,Alkaline,7693.06,0.073,0.073,24841.1,0,1,0.812,0.0,0.0,stable
C3,Acidic,11325.73,0.4823,0.4823,51202.3,0,1,0.353,0.0,0.002,stable
C3,Near-neutral,226366.22,2.549,3.4271,,2,2,58.872,0.0,3.0348,LIMIT CYCLE (sustained oscillation)
C3,Alkaline,20133.51,0.0,0.0,35881.6,0,1,0.76,0.0,0.0003,stable
C4,Acidic,29985.81,0.4749,0.4749,,1,1,0.238,0.0,0.061,NOT SETTLED (slow transient)
C4,Near-neutral,116271.57,2.8864,3.3907,,2,2,10.078,0.0,0.9562,LIMIT CYCLE (sustained oscillation)
C4,Alkaline,46657.89,0.0,0.0,33201.5,0,1,0.686,0.0,0.0,stable
C2b,Acidic,4547.64,0.3178,0.3178,25781.1,0,1,0.343,0.0,0.0,stable
C2b,Near-neutral,28718.63,3.0208,3.2209,26741.2,0,2,4.949,0.0,0.0,stable
C2b,Alkaline,7309.69,0.0571,0.0571,22401.0,0,1,1.126,0.0,0.0,stable
C4b,Acidic,7062.43,0.3737,0.3737,29281.3,0,1,0.345,0.0,0.0,stable
C4b,Near-neutral,26432.04,2.8876,3.3981,27941.2,0,2,2.266,0.0,0.0,stable
C4b,Alkaline,19708.98,0.0001,0.0001,28361.3,0,1,1.414,0.0,0.0,stable
